Field Name,Events,Users,Sessions,Pages,Transactions,Products,Open Funnel,Closed Funnel,GTM Perf,Consents
ad_personalization,X,,,,,,,,,X
ad_personalization_accepted_percentage,,,X,,,,,,,
ad_personalization_denied_percentage,,,X,,,,,,,
ad_storage,X,,,,,,,,,X
ad_storage_accepted_percentage,,,X,,,,,,,
ad_storage_denied_percentage,,,X,,,,,,,
ad_user_data,X,,,,,,,,,X
ad_user_data_accepted_percentage,,,X,,,,,,,
ad_user_data_denied_percentage,,,X,,,,,,,
add_payment_info,,,X,,,X,,,,
add_shipping_info,,,X,,,X,,,,
add_to_cart,,,X,,,X,,,,
add_to_wishlist,,,X,,,X,,,,
analytics_storage,X,,,,,,,,,X
analytics_storage_accepted_percentage,,,X,,,,,,,
analytics_storage_denied_percentage,,,X,,,,,,,
avg_order_value,,,X,,,,,,,
avg_purchase_value,,X,,,,,,,,
avg_refund_value,,X,,,,,,,,
begin_checkout,,,X,,,X,,,,
browser_language,X,,,,,,,,,
browser_name,X,,,,,,,,,
browser_version,X,,,,,,,,,
campaign,X,,,,,,,,,
campaign_click_id,X,,,,,,,,,
campaign_content,X,,,,,,,,,
campaign_id,X,,,,,,,,,
campaign_term,X,,,,,,,,,
channel_grouping,X,,,,,,,,,
city,X,,,,,,,,,
client_id,X,X,X,X,X,X,X,X,X,X
client_id_next_step,,,,,,,X,X,,
consent_expressed,,,X,,,,,,,
consent_timestamp,,,X,,,,,,,
consent_type,X,,,,,,,,,X
content_length,X,,,,,,,,X,
country,X,,,,,,,,,
creative_name,,,,,,X,,,,
creative_slot,,,,,,X,,,,
cross_domain_id,X,,,,,,,,,
cross_domain_session,X,,X,X,X,X,X,,X,
cs_container_id,X,,,,,,,,X,
cs_hostname,X,,,,,,,,X,
cs_tag_id,X,,,,,,,,,
cs_tag_name,X,,,,,,,,,
customer_type,,X,,,,,,,,
customers,,X,,,,,,,,
dataLayer,,,,,,,,,X,
datalayer,X,,,,,,,,,
days_from_first_purchase,,X,,,,,,,,
days_from_first_to_last_visit,X,X,,,,,,,,
days_from_first_visit,X,X,,,,,,,,
days_from_last_purchase,,X,,,,,,,,
days_from_last_visit,X,X,,,,,,,,
delay_in_milliseconds,,,,,,,,,X,
delay_in_seconds,,,,,,,,,X,
device_model,X,,,,,,,,,
device_type,X,,,,,,,,,
device_vendor,X,,,,,,,,,
ecommerce,X,,,,,,,,X,
engaged_session,,,X,,,,,,,
engaged_sessions_percentage,,,X,,,,,,,
event_data,X,,,,,,,,X,
event_date,X,,,,X,X,X,,X,X
event_datetime,,,,,,,,,X,
event_id,X,,,,,,,,X,
event_name,X,,,,X,X,,,X,X
event_number,X,,,,,,,,,
event_origin,X,,,,,,,,X,
event_timestamp,X,,,,X,X,,,X,X
event_type,X,,,,,,,,,
first_session,,,X,,,,,,,
functionality_storage,X,,,,,,,,,X
functionality_storage_accepted_percentage,,,X,,,,,,,
functionality_storage_denied_percentage,,,X,,,,,,,
gtm_data,X,,,,,,,,,
hit_number,,,,,,,,,X,
is_customer,,X,,,,,,,,
item_affiliation,,,,,,X,,,,
item_brand,,,,,,X,,,,
item_category,,,,,,X,,,,
item_category_2,,,,,,X,,,,
item_category_3,,,,,,X,,,,
item_category_4,,,,,,X,,,,
item_category_5,,,,,,X,,,,
item_coupon,,,,,,X,,,,
item_discount,,,,,,X,,,,
item_id,,,,,,X,,,,
item_list_id,,,,,,X,,,,
item_list_name,,,,,,X,,,,
item_name,,,,,,X,,,,
item_purchase_revenue,,,,,,X,,,,
item_quantity_added_to_cart,,,,,,X,,,,
item_quantity_purchased,,X,,,,X,,,,
item_quantity_refunded,,X,,,,X,,,,
item_quantity_removed_from_cart,,,,,,X,,,,
item_refund_revenue,,,,,,X,,,,
item_revenue_net_refund,,,,,,X,,,,
item_unique_purchases,,,,,,X,,,,
